TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
TOIVON TUOLLA PUOLEN,O OUTRO LADO DA ESPERANÇA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,15908,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
TOKAREV,FÚRIA,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,144387,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
TOKYO KAZOKU,UMA FAMÍLIA EM TÓQUIO,ESFERA PRODUÇÕES CULTURAIS EIRELI,JAPÃO,9661,"2014, 2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
TOKYO MONOGATARI,ERA UMA VEZ EM TÓQUIO,ESFERA PRODUÇÕES CULTURAIS EIRELI,JAPÃO,4868,"2014, 2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
TOLKIEN,TOLKIEN,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,6703,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
TOM & JERRY,TOM & JERRY - O FILME,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,503439,"2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
TOMB RAIDER,TOMB RAIDER: A ORIGEM,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,894751,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
TOMBOY,TOMBOY,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,FRANÇA,202,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
TOMIE OHTAKE,TOMIE OHTAKE,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,BRASIL,351,"2015, 2016",TOTAL,NÃO SE APLICA,SIM
TOMMASO,TOMMASO,PAGU DISTRIBUICAO DE FILMES LTDA.,ESTADOS UNIDOS,479,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
