TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO,OBRA_PUBLICITARIA
ILEGAL,ILEGAL,CIRCUITO CINEARTE LTDA,BRASIL,5661,"2014, 2015",TOTAL,NÃO SE APLICA,SIM
ILHA,ILHA,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,131,2024,TOTAL,NÃO SE APLICA,SIM
"ILHA DO TERRÍVEL RAPATERRA, A","ILHA DO TERRÍVEL RAPATERRA, A",RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,BRASIL,133,2015,TOTAL,NÃO SE APLICA,NÃO
ILLUSIONS PERDUES,ILUSÕES PERDIDAS,ANTONIO FERNANDES FILMES LTDA,BÉLGICA,8014,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
ILO ILO,QUANDO MEUS PAIS NÃO ESTÃO EM CASA,ESFERA PRODUÇÕES CULTURAIS EIRELI,CINGAPURA,6072,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
IM LABYRINTH DES SCHWEIGENS,LABIRINTO DE MENTIRAS,MARES FILMES EIRELI,ALEMANHA,33591,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
IMAGENS DO ESTADO NOVO 1937-45,IMAGENS DO ESTADO NOVO 1937-45,BRASIL 1500 PRODUCOES CINEMATOGRAFICAS EIRELI,BRASIL,2701,2018,TOTAL,NÃO SE APLICA,NÃO
IMAGINARY,IMAGINÁRIO - BRINQUEDO DIABÓLICO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,176754,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
IMAGINE DRAGONS: SMOKE + MIRRORS LIVE,IMAGINE DRAGONS: SMOKE + MIRRORS AO VIVO,CINEMARK BRASIL S.A,INGLATERRA,1585,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
IMMACULATE,IMACULADA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,476657,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
IN ANOTHER COUNTRY,A VISITANTE FRANCESA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,CORÉIA DO SUL,814,"2014, 2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
IN FROM THE SIDE,AO SEU LADO,A2 DISTRIBUIDORA DE FILMES LTDA EPP,REINO UNIDO,1727,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
IN GUERRA PER AMORE,EM GUERRA POR AMOR,CIRCUITO CINEARTE LTDA,ITÁLIA,3593,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
IN SEARCH OF FELLINI,EM BUSCA DE FELLINI,CINEMATOGRÁFICA DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,6731,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
IN THE FADE,EM PEDAÇOS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,27768,"2018, 2021, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
IN THE HEART OF THE SEA,NO CORAÇÃO DO MAR,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1037565,"2015, 2016",NÃO SE APLICA,NÃO SE APLICA,SIM
IN THE HEIGHTS,EM UM BAIRRO DE NOVA YORK,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,10539,2021,NÃO SE APLICA,NÃO SE APLICA,SIM
INAUDITO,INAUDITO,EMBAUBA FILMES LTDA,BRASIL,293,2020,TOTAL,NÃO SE APLICA,SIM
INCARNATE,DOMINAÇÃO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,142059,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
INCH'ALLAH,INCH'ALLAH,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CANADÁ,7059,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
INCIDENT IN A GHOSTLAND,A CASA DO MEDO - INCIDENTE EM GHOSTLAND,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,226346,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
INCOMPATÍVEL,INCOMPATÍVEL,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,1977,2022,TOTAL,NÃO SE APLICA,NÃO
INCOMPATÍVEL COM A VIDA,INCOMPATÍVEL COM A VIDA,DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI,BRASIL,750,"2023, 2024",TOTAL,NÃO SE APLICA,SIM
INCOMPRESA,INCOMPREENDIDA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,5059,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
INDEPENDENCE DAY RESURGENCE,INDEPENDENCE DAY- O RESSURGIMENTO,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,1828180,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
INDIANA JONES AND THE DIAL OF DESTINY,INDIANA JONES E A RELÍQUIA DO DESTINO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,1018969,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
INDIGNATION,INDIGNAÇÃO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,15874,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
INEZITA,INEZITA,FUND PE ANCHIETA CENTRO PAULISTA RADIO E TV EDUCATIVAS,BRASIL,873,2019,TOTAL,NÃO SE APLICA,SIM
INFERNINHO,INFERNINHO,EMBAUBA FILMES LTDA,BRASIL,3765,2019,TOTAL,NÃO SE APLICA,SIM
INFERNO,INFERNO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,2190063,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
INFINITAS TERRAS (OU RELATOS DO MEU TEMPO EM CRISE),INFINITAS TERRAS (OU RELATOS DO MEU TEMPO EM CRISE),O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,261,2023,TOTAL,NÃO SE APLICA,SIM
INFINITELY POLAR BEAR,SENTIMENTOS QUE CURAM,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,20215,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
INFÂNCIA,INFÂNCIA,FORTE FILMES PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,3529,2015,TOTAL,NÃO SE APLICA,NÃO
INFÂNCIA CLANDESTINA,INFÂNCIA CLANDESTINA,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,150,2015,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
INHEBEK HEDI,A AMANTE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,15666,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
INHERENT VICE,VÍCIO INERENTE,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,20660,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
INSEPARABLES,INSEPARÁVEIS,SM DISTRIBUIDORA DE FILMES LTDA,ARGENTINA,5237,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
INSIDE LLEWYN DAVIS,INSIDE LLEWYN DAVIS: BALADA DE UM HOMEM COMUM,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,24376,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
INSIDE OUT,DIVERTIDA MENTE,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,3619775,"2015, 2016, 2017, 2018, 2020, 2022",NÃO SE APLICA,NÃO SE APLICA,SIM
INSIDE OUT 2,DIVERTIDA MENTE 2,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,22426250,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
INSIDIOUS: CHAPTER 2,SOBRENATURAL: CAPÍTULO 2,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,2629,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
INSIDIOUS: CHAPTER 3,SOBRENATURAL: A ORIGEM,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,624245,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
INSIDIOUS: THE LAST KEY,SOBRENATURAL: A ÚLTIMA CHAVE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,1067205,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
INSIDIOUS: THE RED DOOR,SOBRENATURAL: A PORTA VERMELHA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,770191,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
INSTANT FAMILY,DE REPENTE UMA FAMÍLIA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,328308,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
INSTINCT,INSTINTO,A2 DISTRIBUIDORA DE FILMES LTDA EPP,HOLANDA,2059,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
INSUBORDINADOS,INSUBORDINADOS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,783,"2015, 2017",TOTAL,NÃO SE APLICA,SIM
INSÔNIA,INSÔNIA,CIRCUITO CINEARTE LTDA,BRASIL,2079,2014,TOTAL,NÃO SE APLICA,NÃO
INTERDIT AUX CHIENS ET AUX ITALIENS,PROIBIDO A CÃES E ITALIANOS,RISI FILM BRASIL LTDA.,BÉLGICA,823,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
INTERNET - O FILME,INTERNET - O FILME,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,380382,2017,TOTAL,NÃO SE APLICA,SIM
INTERSTELLAR,INTERESTELAR,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1232198,"2014, 2015, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
INTERVENÇÃO,INTERVENÇÃO,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,37,2021,TOTAL,NÃO SE APLICA,NÃO
INTERVIEW WITH THE VAMPIRE,ENTREVISTA COM O VAMPIRO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,14,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
INTIMIDADE ENTRE ESTRANHOS,INTIMIDADE ENTRE ESTRANHOS,VITRINE FILMES LTDA,BRASIL,4174,"2018, 2019",TOTAL,NÃO SE APLICA,NÃO
INTO THE STORM,NO OLHO DO TORNADO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,460218,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
INTO THE WOODS,CAMINHOS DA FLORESTA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,341163,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
INTOLERÂNCIA.DOC,INTOLERÂNCIA.DOC,MODO OPERANTE PRODUÇÕES CULTURAIS LTDA. ME,BRASIL,184,2017,TOTAL,NÃO SE APLICA,NÃO
INTRODUCTION,ENCONTROS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,CORÉIA DO SUL,2830,"2022, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
INTRODUÇÃO À MÚSICA DO SANGUE,INTRODUÇÃO À MÚSICA DO SANGUE,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,549,2017,TOTAL,NÃO SE APLICA,NÃO
INTRUSO,INTRUSO,PIPA NATIVA PRODUÇÃO CULTURAL LTDA,BRASIL,4123,2019,TOTAL,NÃO SE APLICA,SIM
INVASORES,INVASORES,RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,BRASIL,461,"2015, 2016",TOTAL,NÃO SE APLICA,NÃO
INVICTUS,INVICTUS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2,2022,NÃO SE APLICA,NÃO SE APLICA,SIM
INVISÍVEL,INVISÍVEL,VITRINE FILMES LTDA,ARGENTINA,9675,"2017, 2018",MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA,SIM
IO E TE,EU E VOCÊ,ANTONIO FERNANDES FILMES LTDA,ITÁLIA,7141,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
IO SONO TEMPESTA,O REI DE ROMA,PAGU DISTRIBUICAO DE FILMES LTDA.,ITÁLIA,9912,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
"IO, CAPITANO","EU, CAPITÃO",PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,8637,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
IRACEMAS,IRACEMAS,LUDWIG MAIA ARTHOUSE DISTRIBUIDORA DE FILMES LTDA,BRASIL,128,"2023, 2024",TOTAL,NÃO SE APLICA,NÃO
IRMÃ DULCE,IRMÃ DULCE,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,205550,"2014, 2015",TOTAL,NÃO SE APLICA,NÃO
IRON MAN 3,HOMEM DE FERRO 3,THE WALT DISNEY COMPANY (BRASIL) LTDA.,CHINA,284,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
IRRATIONAL MAN,IRRATIONAL MAN,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,199067,"2015, 2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
ISHA OVEDET,NÃO MEXA COM ELA,PAGU DISTRIBUICAO DE FILMES LTDA.,ISRAEL,13037,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
ISLAND OF LEMURS: MADAGASCAR 3D,ILHA DOS LÊMURES: MADAGASCAR - 3D,CINEARTE POMPEIA LTDA,CANADÁ,742,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
ISLE OF DOGS,ILHA DOS CACHORROS,FOX FILM DO BRASIL LTDA,ALEMANHA,23592,"2018, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
ISOLADOS,ISOLADOS,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,80897,2014,TOTAL,NÃO SE APLICA,NÃO
ISTO (NÃO) É UM ASSALTO,ISTO (NÃO) É UM ASSALTO,KINOPUS AUDIOVISUAL LTDA - ME,BRASIL,1067,2018,TOTAL,NÃO SE APLICA,SIM
IT,IT: A COISA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,4437386,"2017, 2019, 2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
IT COMES AT NIGHT,AO CAIR DA NOITE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,37710,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
IT ENDS WITH US,É ASSIM QUE ACABA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,2947401,2024,NÃO SE APLICA,NÃO SE APLICA,SIM
IT FOLLOWS,CORRENTE DO MAL,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,75586,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
IT LIVES INSIDE,NÃO ABRA!,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,152050,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
IT MUST BE HEAVEN,O PARAÍSO DEVE SER AQUI,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,31786,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
IT'S A WONDERFUL LIFE,A FELICIDADE NÃO SE COMPRA,CINEMARK BRASIL S.A,ESTADOS UNIDOS,2873,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
IT'S WINTER,SEPARADOS PELO INVERNO,CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE,FRANÇA,701,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
IT: CHAPTER TWO,IT - CAPÍTULO DOIS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,3157825,"2019, 2020, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
ITHAKA,ITHAKA - A LUTA DE ASSANGE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,AUSTRÁLIA,3399,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
IU CONCERT: THE GOLDEN HOUR,IU CONCERT: THE GOLDEN HOUR,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,CORÉIA DO SUL,1042,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
IVÁN -  DE VOLTA PARA O PASSADO,IVÁN -  DE VOLTA PARA O PASSADO,MORO COMUNICACAO LTDA,BRASIL,2345,"2015, 2016",TOTAL,NÃO SE APLICA,SIM
J-HOPE IN THE BOX,J-HOPE IN THE BOX,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,CORÉIA DO NORTE,5298,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
JACK REACHER: NEVER GO BACK,JACK RACHER: SEM RETORNO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,690075,"2016, 2017, 2020, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
JACK RYAN: SHADOW RECRUIT,OPERAÇÃO SOMBRA: JACK RYAN,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,332296,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
JACKASS PRESENTS: BAD GRANDPA .5,JACKASS APRESENTA: VOVÔ SEM VERGONHA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,33633,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
JACKIE,JACKIE,CAFCO FILMES EIRELI - ME (BAIXADO),HOLANDA,2731,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
JACKIE,JACKIE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,CHILE,85667,2017,NÃO SE APLICA,NÃO SE APLICA,SIM
JAG ÄR INGRID,EU SOU INGRID BERGMAN,ZETA FILMES LTDA,SUÉCIA,13404,"2015, 2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
JAIME LERNER - UMA HISTORIA DE SONHOS,JAIME LERNER - UMA HISTORIA DE SONHOS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,408,2016,TOTAL,NÃO SE APLICA,SIM
JAIR RODRIGUES - DEIXA QUE DIGAM,JAIR RODRIGUES - DEIXA QUE DIGAM,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,2430,2023,TOTAL,NÃO SE APLICA,NÃO
JANGO NO EXÍLIO,JANGO NO EXÍLIO,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,BRASIL,1073,2024,TOTAL,NÃO SE APLICA,SIM
JANIS LITTLE GIRL BLUE,JANIS - LITTLE GIRL BLUE,ZETA FILMES LTDA,ESTADOS UNIDOS,24994,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
JARDIM EUROPA,JARDIM EUROPA,RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,BRASIL,1542,"2014, 2015",TOTAL,NÃO SE APLICA,SIM
JASON BOURNE,JASON BOURNE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,648869,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
JAUJA,JAUJA,VITRINE FILMES LTDA,ARGENTINA,6632,"2015, 2016, 2017, 2019",NÃO SE APLICA,NÃO SE APLICA,SIM
JAWS,TUBARÃO,CINEMARK BRASIL S.A,ESTADOS UNIDOS,1373,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
JAWS,TUBARÃO,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,461,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
JEEPERS CREEPERS: REBORN,OLHOS FAMINTOS: RENASCIMENTO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,67377,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
JENNY'S WEDDING,CASAMENTO DE VERDADE,RJ DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,7061,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
JERSEY BOYS,JERSEY BOYS - EM BUSCA DA MÚSICA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,21150,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
JESSABELLE,JESSABELLE - O PASSADO NUNCA MORRE,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,149377,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
JESUS - A ESPERANÇA,JESUS - A ESPERANÇA,MORO COMUNICACAO LTDA,BRASIL,2180,"2017, 2018",TOTAL,NÃO SE APLICA,SIM
JESUS DE NAZARETH - EL HIJO DE DIOS,JESUS DE NAZARÉ - O FILHO DE DEUS,"UNIFILMES DISTRIBUIDORA, IMPORTADORA E EXPORTADORA DE FILMES LTDA",ESPANHA,2548,2019,NÃO SE APLICA,NÃO SE APLICA,SIM
JESUS KID,JESUS KID,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,988,2022,TOTAL,NÃO SE APLICA,SIM
JEUNE ET JOLIE,JOVEM E BELA,MARES FILMES EIRELI,FRANÇA,8011,2014,NÃO SE APLICA,NÃO SE APLICA,SIM
JEUNE FEMME,JOVEM MULHER,ZETA FILMES LTDA,FRANÇA,5607,"2017, 2018",NÃO SE APLICA,NÃO SE APLICA,SIM
JEXI,"JEXI, UM CELULAR SEM FILTRO",DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,6418,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
"JIA ZHANG-KE, UM HOMEM DE FENYANG","JIA ZHANG-KE, UM HOMEM DE FENYANG",VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,BRASIL,6442,2015,TOTAL,NÃO SE APLICA,NÃO
JIANG HU ER NV,AMOR ATÉ ÀS CINZAS,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CHINA,8150,"2019, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
JIAU YOU (AKA STRAY DOGS),CÃES ERRANTES,MOSTRA INTERNACIONAL DE CINEMA LTDA,TAIWAN,1600,"2014, 2015",NÃO SE APLICA,NÃO SE APLICA,SIM
JIGEUMEUN MATGO GEUTTAENEUN TEULLIDA,"CERTO AGORA, ERRADO ANTES",ZETA FILMES LTDA,CORÉIA DO SUL,3033,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
JIGSAW,JOGOS MORTAIS: JIGSAW,SM DISTRIBUIDORA DE FILMES LTDA,CANADÁ,640005,"2017, 2018, 2020",NÃO SE APLICA,NÃO SE APLICA,SIM
JIMMY'S HALL,JIMMY'S HALL,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,9808,2015,NÃO SE APLICA,NÃO SE APLICA,SIM
JOAQUIM,JOAQUIM,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,PORTUGAL,19723,"2017, 2018, 2019",MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA,NÃO
JOGO DAS DECAPITAÇÕES,JOGO DAS DECAPITAÇÕES,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,1344,"2014, 2015",TOTAL,NÃO SE APLICA,NÃO
JOGO DE XADREZ,JOGO DE XADREZ,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,521,2014,TOTAL,NÃO SE APLICA,NÃO
JOHN FROM,JOHN FROM,P & M DISTRIBUIDORA DE FILMES LTDA,FRANÇA,472,"2016, 2017",NÃO SE APLICA,NÃO SE APLICA,SIM
JOHN WICK,DE VOLTA AO JOGO,SM DISTRIBUIDORA DE FILMES LTDA,CANADÁ,254,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
JOHN WICK,DE VOLTA AO JOGO,WMIX DISTRIBUIDORA LTDA.,CANADÁ,314009,"2014, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
JOHN WICK 3: PARABELLUM,JOHN WICK 3: PARABELLUM,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1005500,"2019, 2020, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
JOHN WICK: CHAPTER 2,JOHN WICK – UM NOVO DIA PARA MATAR,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,552494,"2017, 2018, 2020, 2023",NÃO SE APLICA,NÃO SE APLICA,SIM
JOHN WICK: CHAPTER 4,JOHN WICK 4: BABA YAGA,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,2413353,2023,NÃO SE APLICA,NÃO SE APLICA,SIM
JOHNNY ENGLISH STRIKES AGAIN,JOHNNY ENGLISH 3.0,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,REINO UNIDO,122473,2018,NÃO SE APLICA,NÃO SE APLICA,SIM
JOJO RABBIT,JOJO RABBIT,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,271273,2020,NÃO SE APLICA,NÃO SE APLICA,SIM
JOKER,CORINGA,WARNER BROS. (SOUTH) INC.,CANADÁ,9761831,"2019, 2020, 2021",NÃO SE APLICA,NÃO SE APLICA,SIM
JONAS,JONAS,ENCRIPTA S/A,BRASIL,1463,2016,TOTAL,NÃO SE APLICA,NÃO
JONAS E O CIRCO SEM LONA,JONAS E O CIRCO SEM LONA,VITRINE FILMES LTDA,BRASIL,2724,"2017, 2018",TOTAL,NÃO SE APLICA,SIM
JONGENS,BOYS,ENCRIPTA S/A,HOLANDA,1835,2016,NÃO SE APLICA,NÃO SE APLICA,SIM
JORGE DA CAPADÓCIA,JORGE DA CAPADÓCIA,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,39862,2024,TOTAL,NÃO SE APLICA,SIM
JORGE MAUTNER - O FILHO DO HOLOCAUSTO,JORGE MAUTNER - O FILHO DO HOLOCAUSTO,H2O DISTRIBUIDORA DE FILMES LTDA,BRASIL,6,2014,TOTAL,NÃO SE APLICA,SIM
"JORGE, O PADROEIRO GUERREIRO","JORGE, O PADROEIRO GUERREIRO",WMIX DISTRIBUIDORA LTDA.,BRASIL,44,2019,TOTAL,NÃO SE APLICA,SIM
JORGINHO GUINLE - SÓ SE VIVE UMA VEZ,JORGINHO GUINLE - SÓ SE VIVE UMA VEZ,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,966,2019,TOTAL,NÃO SE APLICA,NÃO
JOSÉ APARECIDO DE OLIVEIRA - O MAIOR MINEIRO DO MUNDO,JOSÉ APARECIDO DE OLIVEIRA - O MAIOR MINEIRO DO MUNDO,TREZE DE MAIO DISTRIBUIDORA E PRODUTORA LTDA,BRASIL,51,2024,TOTAL,NÃO SE APLICA,NÃO
