TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
STAR TREK BEYOND,STAR TREK: SEM FRONTEIRAS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,836240,2016
STAR WARS: EPISODE I - THE PHANTOM MENACE,STAR WARS: EPISÓDIO I - A AMEAÇA FANTASMA,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,723,"2014, 2015"
STAR WARS: EPISODE I - THE PHANTOM MENACE,STAR WARS: EPISÓDIO I - A AMEAÇA FANTASMA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,33424,2024
STAR WARS: EPISODE III - REVENGE OF THE SITH,STAR WARS: EPISÓDIO III - A VINGANÇA DOS SITH,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,509,"2014, 2015"
STAR WARS: EPISODE IV - A NEW HOPE,GUERRA NAS ESTRELAS: EPISÓDIO IV - UMA NOVA ESPERANÇA,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,189,2015
STAR WARS: EPISODE V - THE EMPIRE STRIKES BACK,STAR WARS: EPISÓDIO V - O IMPÉRIO CONTRA-ATACA,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,579,"2014, 2015"
STAR WARS: EPISODE VI - RETURN OF THE JEDI,STAR WARS: EPISÓDIO VI - O RETORNO DO JEDI,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,546,"2014, 2015"
STAR WARS: EPISODE VII - THE FORCE AWAKENS,STAR WARS: O DESPERTAR DA FORÇA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,6710167,"2015, 2016"
STAR WARS: THE CLONE WARS,STAR WARS: THE CLONE WARS,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,700,"2014, 2015"
STAR WARS: THE LAST JEDI,STAR WARS: OS ÚLTIMOS JEDI,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,3489877,"2017, 2018"
STAR WARS: THE RISE OF SKYWALKER,STAR WARS: A ASCENSÃO SKYWALKER,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,2834479,"2019, 2020"
STARLET,UMA ESTRANHA AMIZADE,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,4649,2014
STATION OF THE CROSS,STATION OF THE CROSS,CANNES PRODUÇÕES S/A,ALEMANHA,3934,2015
STAY STILL,GAROTA INFLAMÁVEL,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,ALEMANHA,1216,2022
STEVE JOBS,STEVE JOBS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,80298,2016
STILL ALICE,PARA SEMPRE ALICE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,401857,"2015, 2019"
STILL LIFE,UMA VIDA COMUM,F. J. CINES LTDA,REINO UNIDO,4534,2014
STITCHES,CICATRIZES,ARTEPLEX DISTRIBUIDORA LTDA,SÉRVIA,8616,"2020, 2021, 2022"
STONEWALL,STONEWALL – ONDE O ORGULHO COMEÇOU,ENCRIPTA S/A,ESTADOS UNIDOS,1526,"2016, 2017"
STOP MAKING SENSE,STOP MAKING SENSE,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,ESTADOS UNIDOS,3517,2024
STORKS,CEGONHAS - A HISTÓRIA QUE NÃO TE CONTARAM,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1339498,"2016, 2017, 2020"
STRAIGHT OUTTA COMPTON,STRAIGHT OUTTA COMPTON ¿ A HISTÓRIA DO N.W.A,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,22736,"2015, 2016"
STRANGE WORLD,MUNDO ESTRANHO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,579471,"2022, 2023"
STRANGER THAN PARADISE,ESTRANHOS NO PARAÍSO,ZETA FILMES LTDA,ESTADOS UNIDOS,3284,"2016, 2017, 2018"
STRANGERLAND,TERRA ESTRANHA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,AUSTRÁLIA,7456,2016
STRAYS,RUIM PRA CACHORRO,STARK'S CINEMA E LANCHONETE LTDA.,ESTADOS UNIDOS,224,2023
STRAYS,RUIM PRA CACHORRO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,89261,2023
STREETCAR NAMED DESIRE,UMA RUA CHAMADA PECADO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,40,2021
STROMBOLI,STROMBOLI,ZETA FILMES LTDA,ITÁLIA,3196,"2018, 2019, 2021"
STRONGER,O QUE TE FAZ MAIS FORTE,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,12492,"2017, 2018"
STUDIO 666,TERROR NO ESTÚDIO 666,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,1326,2022
SUBMERGENCE,SUBMERSÃO,ANTONIO FERNANDES FILMES LTDA,ESTADOS UNIDOS,19833,2018
SUBURBICON,SUBURBICON: BEM-VINDOS AO PARAÍSO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,29940,"2017, 2018"
SUDOESTE,,VITRINE FILMES LTDA,BRASIL,103,"2014, 2016"
SUEÑO FLORIANÓPOLIS,,VITRINE FILMES LTDA,ARGENTINA,4127,"2018, 2019"
SUFFRAGETTE,SUFRAGISTAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,123928,"2015, 2016"
SUGA - AGUST D TOUR 'D-DAY' IN JAPAN: LIVE VIEWING,SUGA - AGUST D TOUR 'D-DAY' NO JAPÃO: AO VIVO,CINECOLOR DO BRASIL LTDA,JAPÃO,14549,2023
SUGA - AGUST D TOUR ‘D-DAY’ THE MOVIE,SUGA - AGUST D TOUR ‘D-DAY’ THE MOVIE,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,CORÉIA DO SUL,88736,2024
SUGA: ROAD TO D-DAY,SUGA: ROAD TO D-DAY,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,CORÉIA DO NORTE,6861,2023
SUICIDE SQUAD,ESQUADRÃO SUICIDA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,7836993,"2016, 2017, 2020"
SUITE FRANÇAISE,SUITE FRANCESA,MARES FILMES EIRELI,INGLATERRA,22110,2016
SUJEITO OCULTO,,FREDERICO DA CRUZ MACHADO - ME,BRASIL,600,2022
SUK SUK,SUK SUK - UM AMOR EM SEGREDO,VITRINE FILMES LTDA,HONG KONG,2081,2021
SULLY,SULLY: O HERÓI DO RIO HUDSON,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,369663,"2016, 2017"
SUMMER OF 84,VERÃO DE 84,CINECOLOR DO BRASIL LTDA,CANADÁ,9819,2019
"SUMMER OF SOUL (...OR, WHEN THE REVOLUTION COULD NOT BE TELEVISED)","SUMMER OF SOUL (...OU, QUANDO A REVOLUÇÃO NÃO PÔDE SER TELEVISIONADA)",THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,6100,2022
SUPAI NO TSUMA,A MULHER DE UM ESPIÃO,ZETA FILMES LTDA,JAPÃO,1545,2022
SUPER ORQUESTRA ARCOVERDENSE DE RITMOS AMERICANOS,,INQUIETA CINEMA CULTURA E COMUNICAÇÃO LTDA - ME,BRASIL,260,"2018, 2019"
SUPER TINGA E ABELHA GIRL,,LUCIANA REGINA RODRIGUES -ME,BRASIL,130,2023
SUPER TINGA HERÓI DE DOIS CONTINENTES,,LUCIANO DA LUZ MOUCKS,BRASIL,73490,"2019, 2022, 2023"
SUPER WHO ?,SUPER QUEM ?,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,9459,2022
SUPERFAST!,SUPER VELOZES MEGA FURIOSOS,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,84376,2015
SUPERMAN 1,SUPERMAN: O FILME,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,3964,"2018, 2021, 2024"
SUPERMAN II,SUPERMAN 2 - A AVENTURA CONTINUA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,4,2021
SUPERPAI,,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,BRASIL,440424,2015
SURFAR É COISA DE RICO,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,102,2015
SUSPIRIA,SUSPÍRIA - A DANÇA DO MEDO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,7965,2019
SUZANNE DAVEAU,SUZANNE DAVEAU,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,PORTUGAL,33,2022
SUZUME,SUZUME,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,JAPÃO,46168,2023
SVECENIKOVA DJECA,OS FILHOS DO PADRE,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,CROÁCIA (HRVATSKA),33789,"2014, 2015"
SWEENEY TODD - THE DEMON BARBER OF FLEET STREET,SWEENEY TODD O BARBEIRO DEMONÍACO DA RUA FLEET,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,97,2020
SWIM LITTLE FISH SWIM,TUDO ACONTECE EM NOVA YORK,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,ESTADOS UNIDOS,14176,2014
SWORD ART ONLINE THE MOVIE - PROGRESSIVE- SCHERZO OF DEEP NIGHT,SWORD ART ONLINE PROGRESSIVE: SCHERZO DO CREPÚSCULO SOMBRIO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,JAPÃO,2029,2023
SWORD ART ONLINE: PROGRESSIVE MOVIE - HOSHI NAKI YORU NO ARIA,SWORD ART ONLINE: PROGRESSIVE - ÁRIA DE UMA NOITE SEM ESTRELAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,JAPÃO,7153,2022
SYKT LYKKELIG,"HAPPY, HAPPY",VILACINE SERVIÇOS CINEMATOGRÁFICOS S.A.,NORUEGA,5895,2015
SYMPATHY FOR THE DEVIL,LIGAÇÃO SOMBRIA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,10431,2024
"SYNGUÉ SABOUR, PIERRE DE PATIENCE",A PEDRA DE PACIÊNCIA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,AFEGANISTÃO,6280,2014
SYNONYMES,SYNONYMS,P & M DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,5483,"2019, 2020"
SYSTEMSPRENGER,TRANSTORNO EXPLOSIVO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,1320,"2020, 2021, 2022"
SÃO PAULO EM HI-FI,,CIGANO FILMES LTDA - ME,BRASIL,3526,"2016, 2017"
SÃO SEBASTIAO DO RIO DE JANEIRO - A FORMAÇÃO DE UMA CIDADE,,BANG BANG FILMES PRODUÇÕES EIRELI,BRASIL,4907,2016
SÃO SILVESTRE,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,1042,2014
SÓCRATES,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,7459,2019
T2 TRAINSPOTTING,T2: TRAINSPOTTING,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,REINO UNIDO,49861,"2017, 2018"
"TABI NO OWARI, SEKAI NO HAJIMARI","O FIM DA VIAGEM, O COMEÇO DE TUDO",ZETA FILMES LTDA,JAPÃO,2250,2019
TABU,,CIRCUITO CINEARTE LTDA,BRASIL,2528,"2014, 2015, 2016"
TAD THE LOST EXPLORER AND THE EMERALD TABLET,AS AVENTURAS DE TADEO E A TÁBUA DE ESMERALDA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,615226,"2022, 2023, 2024"
TADEO JONES 2: EL SECRETO DEL REY MIDAS,AS AVENTURAS DE TADEO 2 - O SEGREDO DO REI MIDAS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESPANHA,344064,"2017, 2018, 2020"
TAEGO ÃWA,,VITRINE FILMES LTDA,BRASIL,1573,"2017, 2018, 2019"
TAG,TE PEGUEI!,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,24602,2018
TAIS & TAIANE,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,54,2021
TAKARA - LA NUIT OÙ J'AI NAGÉ,TAKARA - A NOITE EM QUE NADEI,ZETA FILMES LTDA,FRANÇA,1687,2018
TAKEN 3,BUSCA IMPLACÁVEL 3,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,1482263,2015
TALK TO ME,FALE COMIGO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,AUSTRÁLIA,786569,"2023, 2024"
TALVEZ UMA HISTÓRIA DE AMOR,,WARNER BROS. (SOUTH) INC.,BRASIL,37296,2018
TAMARA,TAMARA,LANCA DISTRIBUIDORA DE FILMES LTDA,PERU,1207,"2018, 2019"
TAMBORES DA DIÁSPORA,,KALAKUTA PRODUÇÕES ARTÍSTICAS LTDA - EPP,BRASIL,216,2022
TAMO JUNTO,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,84209,2016
TANGERINE,TANGERINE,ZETA FILMES LTDA,ESTADOS UNIDOS,8076,"2016, 2017, 2019"
TANGLED,ENROLADOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,4121,"2015, 2016"
TANGO LIBRE,TANGO LIVRE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,BÉLGICA,8086,"2014, 2015"
TANTA AGUA,TANTA ÁGUA,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,URUGUAI,690,2014
TANTAS ALMAS,,VITRINE FILMES LTDA,BRASIL,604,2022
TARDE PARA MORIR JOVEN,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,2116,2020
TARJA BRANCA,,MARCOS BESSA NISTI - ME (BAIXADO),BRASIL,11764,2014
TAROT,O TARÔ DA MORTE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,230943,2024
TARSILINHA,,H2O DISTRIBUIDORA DE FILMES LTDA,BRASIL,7907,2022
TARZAN,TARZAN,WMIX DISTRIBUIDORA LTDA.,ALEMANHA,910446,2014
TATUAGEM,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,17944,"2014, 2015"
TAXI,TÁXI TEERÃ,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,IRÃ,13875,"2015, 2016"
TAXI DRIVER,TAXI DRIVER,CINEMARK BRASIL S.A,ESTADOS UNIDOS,9711,2014
TAXI DRIVER,TAXI DRIVER,F. J. CINES LTDA,ESTADOS UNIDOS,1301,2017
TAYLOR SWIFT - THE ERAS TOUR,TAYLOR SWIFT - THE ERAS TOUR,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,ESTADOS UNIDOS,187356,2023
TCHAIKOVSKY'S WIFE,A ESPOSA DE TCHAIKOVSKY,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,14373,2023
TEA PETS,OS BRINQUEDOS MÁGICOS,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,CHINA,49701,"2019, 2020, 2021"
TEATROS NO BRASIL  CLAUDIO SANTORO - MEMÓRIAS DO MAESTRO E DO TEATRO EM VIDA,,WMIX DISTRIBUIDORA LTDA.,BRASIL,17,2019
TEATROS NO BRASIL  TEATROS AMAZONAS - O FILHO OURO DA FLORESTA,,WMIX DISTRIBUIDORA LTDA.,BRASIL,33,2019
TEATROS NO BRASIL CASTRO ALVES - O TEATRO E O HOMEM,,WMIX DISTRIBUIDORA LTDA.,BRASIL,22,2019
TEATROS NO BRASIL SUDESTE MUNICIPAL - ENREDOS DA JÓIA CARIOCA,,WMIX DISTRIBUIDORA LTDA.,BRASIL,19,2019
TEATROS NO BRASIL THEATRO SÃO PEDRO - SÍMBOLO DE ARTE E RESISTÊNCIA,,WMIX DISTRIBUIDORA LTDA.,BRASIL,16,2019
TECA E TUTI: UMA NOITE NA BIBLIOTECA,,LUCAS P. BONALUMI - CRIACAO E PRODUCAO DE CONTEUDO,BRASIL,5471,2024
TECHNOBOSS,TECHNOBOSS,VITRINE FILMES LTDA,PORTUGAL,123,2020
TED 2,TED 2,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,743118,2015
TEEN SPIRIT,ESPÍRITO JOVEM,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,1284,2019
TEEN TITANS GO! TO THE MOVIES,JOVENS TITÃS EM AÇÃO! NOS CINEMAS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1013987,"2018, 2019, 2020"
TEENAGE MUTANT NINJA TURTLES,"TARTARUGAS NINJA, AS",PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,3373396,"2014, 2015"
TEENAGE MUTANT NINJA TURTLES: MUTANT MAYHEM,AS TARTARUGAS NINJA: CAOS MUTANTE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,709765,"2023, 2024"
TEENAGE MUTANT NINJA TURTLES: MUTANT MAYHEM,AS TARTARUGAS NINJA: CAOS MUTANTE,STARK'S CINEMA E LANCHONETE LTDA.,ESTADOS UNIDOS,712,2023
TEENAGE MUTANT NINJA TURTLES: OUT OF THE SHADOWS,AS TARTARUGAS NINJA: FORA DAS SOMBRAS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,1356358,"2016, 2017"
TEL AVIV ON FIRE,TEL AVIV EM CHAMAS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BÉLGICA,628,"2020, 2021"
TELAS,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,26,2024
TELL IT LIKE A WOMAN,ELAS POR ELAS,A2 DISTRIBUIDORA DE FILMES LTDA EPP,ESTADOS UNIDOS,1001,2023
TELL IT TO THE BEES,FALE COM AS ABELHAS,ARTEPLEX DISTRIBUIDORA LTDA,REINO UNIDO,4012,"2021, 2022"
"TELLE MÈRE, TELLE FILLE","TAL MÃE, TAL FILHA",ANTONIO FERNANDES FILMES LTDA,FRANÇA,12905,2017
TEMPORADA,,VITRINE FILMES LTDA,BRASIL,7508,"2018, 2019, 2020"
TEMPOS DE BARBÁRIE - ATO I: TERAPIA DA VINGANÇA,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,2807,2023
TENET,TENET,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,334144,"2020, 2021, 2023"
TENHO FÉ,,LIRA FILMES PRODUÇÕES LTDA ME,BRASIL,218,2023
TENKI NO KO,O TEMPO COM VOCÊ,CINECOLOR DO BRASIL LTDA,JAPÃO,4422,"2020, 2021"
"TEOBALDO MORTO, ROMEU EXILADO",,PIQUE-BANDEIRA PRODUCOES LTDA,BRASIL,480,2016
TERAPIA DO MEDO,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,431,"2020, 2021"
TERESINHA,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,1323,"2016, 2017"
TERMINATOR GENISYS,O EXTERMINADOR DO FUTURO: GÊNESIS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,2480710,2015
TERMINATOR: DARK FATE,O EXTERMINADOR DO FUTURO: DESTINO SOMBRIO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,CHINA,1024351,2019
TERRA CABOCLA,,REALIZART PRODUÇÃO AUDIOVISUAL LTDA,BRASIL,318,2015
TERRA DE CIGANOS,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,147,2024
TERRA ESTRANGEIRA,,VIDEOFILMES PRODUÇÕES ARTÍSTICA LTDA,BRASIL,58,2023
TERRA QUE MARCA,TERRA QUE MARCA,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,PORTUGAL,110,2023
TERRAFERMA,TERRA FIRME,ESFERA PRODUÇÕES CULTURAIS EIRELI,ITÁLIA,900,"2014, 2015"
TERRIFIER 2,TERRIFIER 2,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,295188,"2022, 2023"
TERRITÓRIO DO BRINCAR,,MARIA FARINHA FILMES E PRODUÇÕES LTDA.,BRASIL,5648,2015
TESIS SOBRE UN HOMICIDIO,TESE SOBRE UM HOMICÍDIO,ANTONIO FERNANDES FILMES LTDA,ARGENTINA,266,"2014, 2015"
TESNOTA,TESNOTA,ZETA FILMES LTDA,RÚSSIA,2746,"2018, 2019"
TESTAMENT,TESTAMENTO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CANADÁ,2801,2024
TESTRÖL ÉS LÉLEKRÖL,CORPO E ALMA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,HUNGRIA,21340,"2017, 2018"
TEU MUNDO NÃO CABE NOS MEUS OLHOS,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,14881,2018
THANKSGIVING,FERIADO SANGRENTO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,173082,"2023, 2024"
THAT AWKWARD MOMENT,NAMORO OU LIBERDADE,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,281811,2014
THE 15:17 TO PARIS,15H17 - TREM PARA PARIS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,35645,"2018, 2024"
THE 33,OS 33,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,61569,2015
THE 355,AS AGENTES 355,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,CHINA,70567,2022
THE 5TH WAVE,A QUINTA ONDA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,1728841,2016
THE 9TH LIFE OF LOUIS DRAX,A NONA VIDA DE LOUIS DRAX,WMIX DISTRIBUIDORA LTDA.,CANADÁ,9364,2016
THE ACCOUNTANT,O CONTADOR,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,762557,"2016, 2020"
THE ADDAMS FAMILY,A FAMÍLIA ADDAMS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,CANADÁ,1627967,"2019, 2020, 2021"
THE ADDAMS FAMILY 2,A FAMÍLIA ADDAMS 2: PÉ NA ESTRADA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,703649,"2021, 2022"
THE AGE OF ADALINE,A INCRIVEL HISTORIA DE ADALINE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,185864,2015
THE AMAZING MAURICE,O GRANDE MAURICINHO,WMIX DISTRIBUIDORA LTDA.,ALEMANHA,92124,2023
THE AMAZING SPIDER-MAN 2,O ESPETACULAR HOMEM-ARANHA 2: A AMEAÇA DE ELECTRO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,4106993,2014
THE ANGRY BIRDS MOVIE 2,ANGRY BIRDS 2 - O FILME,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,894027,"2019, 2020"
THE ART OF RACING IN THE RAIN,MEU AMIGO ENZO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,198956,2019
THE ASPERN PAPERS,OS PAPÉIS DE ASPERN,A2 DISTRIBUIDORA DE FILMES LTDA EPP,ALEMANHA,4075,2019
THE ASSENT,POSSESSÃO - O ÚLTIMO ESTÁGIO,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,5054,2021
THE ATTORNEY,O ADVOGADO,CONTENTS 360 AUDIOVISUAL LTDA.,CORÉIA DO SUL,114,2017
THE AUDIENCE,A AUDIENCIA,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,INGLATERRA,236,2015
THE AUSCHWITZ REPORT,O PROTOCOLO AUSCHWITZ,A2 DISTRIBUIDORA DE FILMES LTDA EPP,ESLOVÁQUIA,343,2021
THE AUTOPSY OF JANE DOE,A AUTÓPSIA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,213739,2017
THE AVENGERS,THE AVENGERS: OS VINGADORES,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,4807,"2018, 2019, 2020, 2024"
THE AVENGERS: AGE OF ULTRON,VINGADORES: ERA DE ULTRON,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,10013145,"2015, 2018"
THE BAD GUYS,OS CARAS MALVADOS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,505641,"2022, 2023"
THE BAG MAN,PROFISSÃO DE RISCO,ANTONIO FERNANDES FILMES LTDA,FRANÇA,11832,2014
THE BANISHING,O RITUAL: PRESENÇA MALIGNA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,REINO UNIDO,82343,2022
THE BANSHEES OF INISHERIN,OS BANSHEES DE INISHERIN,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,77908,"2023, 2024"
THE BATMAN,BATMAN,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,5902969,"2022, 2023, 2024"
THE BEASTS,AS BESTAS,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,ESPANHA,2300,2024
THE BEATLES GET BACK: THE ROOFTOP CONCERT,THE BEATLES GET BACK: O ÚLTIMO SHOW,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,4970,2022
THE BEATLES: EIGHT DAYS A WEEK - THE TOURING YEARS,BEATLES - EIGHT DAYS A WEEK - THE TOURING YEARS,FLIX MEDIA LTDA,INGLATERRA,13170,2017
THE BEEKEEPER,BEEKEEPER - REDE DE VINGANÇA,CINE CAXAMBU LTDA,ESTADOS UNIDOS,55,2024
THE BEEKEEPER,BEEKEEPER - REDE DE VINGANÇA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,294851,2024
THE BEEKEEPER,BEEKEEPER - REDE DE VINGANÇA,STARK'S CINEMA E LANCHONETE LTDA.,ESTADOS UNIDOS,151,2024
THE BEGUILED,O ESTRANHO QUE NÓS AMAMOS,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,99775,2017
THE BEST OF ME,O MELHOR DE MIM,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,118073,2014
THE BEST OFFER,O MELHOR LANCE,SM DISTRIBUIDORA DE FILMES LTDA,ITÁLIA,40685,2014
THE BFG,O BOM GIGANTE AMIGO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,CANADÁ,638087,2016
