TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
A LUNETA DO TEMPO,,P & M DISTRIBUIDORA DE FILMES LTDA,BRASIL,6830,2016
A LUNETA DO TEMPO,,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,BRASIL,51,2017
A LUTA DO SÉCULO,,VITRINE FILMES LTDA,BRASIL,2710,"2016, 2018, 2019"
A MAN CALLED OTTO,O PIOR VIZINHO DO MUNDO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,308102,2023
A MAN CALLED OVE,UM HOMEM CHAMADO OVE,ANTONIO FERNANDES FILMES LTDA,SUÉCIA,13394,2017
A MAN IN THE DARK,O HOMEM NAS TREVAS,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,770406,2016
A MATÉRIA NOTURNA,,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,431,2024
A MENINA ÍNDIGO,,FILM CONNECTION DISTRIBUIDORA DE FILMES LTDA,BRASIL,13456,2017
A MESMA PARTE DE UM HOMEM,,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,683,2022
A METADE DE NÓS,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,1043,2024
A MILLION WAYS TO DIE IN THE WEST,"MILHÃO DE MANEIRAS DE PEGAR NA PISTOLA, UM",H20 PRODUÇÕES LTDA,ESTADOS UNIDOS,24024,2014
A MISTERIOSA MORTE DE PÉROLA,,EMBAUBA FILMES LTDA,BRASIL,157,"2018, 2019"
A MONSTER CALLS,SETE MINUTOS DEPOIS DA MEIA NOITE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESPANHA,18633,"2016, 2017"
A MONSTER WITH THOUSAND HEADS,MONSTRO DE MIL CABEÇAS,RJ DISTRIBUIDORA DE FILMES LTDA,MÉXICO,1032,2016
A MONTANHA DE MATTERHORN,A MONTANHA MATTERHORN,MOSTRA INTERNACIONAL DE CINEMA LTDA,HOLANDA,923,"2014, 2018"
A MORTE DE J.P.CUENCA,,DM FILMES E PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,339,2016
A MORTE HABITA À NOITE,,VITRINE FILMES LTDA,BRASIL,900,"2022, 2023"
A MOST WANTED MAN,O HOMEM MAIS PROCURADO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ALEMANHA,38611,2014
