TITULO_ORIGINAL,CPB,DATA_EMISSAO_CPB,SITUACAO_OBRA,PART_PATRIMONIAL_BRASILEIRA,ACORDO_COPRODUCAO
ONCE UPON A TIME IN VENEZUELA,B2000343800000,19/08/2020,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
ONDE ANDARÁ DULCE VEIGA?,B0700801600000,26/11/2007,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
OS CAMINHOS DO MEU PAI,B2100242000000,10/06/2021,DEFERIDO,MAJORITÁRIA,
OS DOZE TRABALHOS,B0600581800000,11/09/2006,DEFERIDO,MAJORITÁRIA,
OS ENFORCADOS,B2400372400000,19/09/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
OS INIMIGOS DA DOR,B1402391300000,01/10/2014,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
OS MAIAS (ALGUNS) EPISÓDIOS DA VIDA ROMÂNTICA,B1402275800000,22/08/2014,DEFERIDO,MINORITÁRIA,
OS PAPAGAIOS AMARELOS,B0600506100000,08/05/2006,DEFERIDO,IGUALITÁRIA,
OSWALDO - 2° TEMPORADA,B1900211700000,06/05/2019,DEFERIDO,MAJORITÁRIA,
OUTRA HISTÓRIA DO MUNDO,B1700431000000,29/08/2017,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PALAVRA E UTOPIA,B0700670000000,09/04/2007,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PALOMA,B2100472800000,28/10/2021,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PARINTINS - JUNGLE MAGIC,B0600603500000,27/10/2006,DEFERIDO,MINORITÁRIA,
PARQUE PATATI PATATÁ,B1500690000000,11/09/2015,DEFERIDO,MAJORITÁRIA,
PARQUE PATATI PATATÁ - 2ª TEMPORADA,B1600649400000,28/09/2016,DEFERIDO,MAJORITÁRIA,
PARTIDO,B2400258100000,26/06/2024,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PASSA LÁ EM CASA-PARIS,B2400365800000,16/09/2024,DEFERIDO,MAJORITÁRIA,
PASSAPORTE HÚNGARO,B0300017900000,04/07/2003,DEFERIDO,MINORITÁRIA,
PASSAPORTE PARA LIBERDADE,B2100524400000,06/12/2021,DEFERIDO,MAJORITÁRIA,
PATERNO,B2100339300000,12/08/2021,DEFERIDO,MAJORITÁRIA,
PAULINA,B1600294100000,26/04/2016,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PEDRO E INÊS,B2100120000000,22/03/2021,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PEDÁGIO,B2300343300000,15/08/2023,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PELA JANELA,B1700088100000,23/02/2017,DEFERIDO,MAJORITÁRIA,
PELE DE VIDRO,B2400120900000,22/03/2024,DEFERIDO,MAJORITÁRIA,
PENAL CORDILLERA,B2400212800000,21/05/2024,DEFERIDO,MINORITÁRIA,AJUSTE COMPLEMENTAR ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA DO CHILE NO ÂMBITO DA COOPERAÇÃO E DA COPRODUÇÃO CINEMATOGRÁFICA
PENDULAR,B1700104200000,06/03/2017,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PERIGOSA OBSESSÃO,B0600460000000,25/01/2006,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ARGENTINA
PESSOAS HUMANAS,B1800468000000,03/10/2018,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
POETAS DO CÉU,B1900050800000,02/02/2019,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
POR PARTE DE PAI,B1700350800000,17/07/2017,DEFERIDO,IGUALITÁRIA,
POR PARTE DE PAI,B1700611300000,18/12/2017,DEFERIDO,IGUALITÁRIA,
POR TRÁS DO APP,B2100360200000,24/08/2021,DEFERIDO,MAJORITÁRIA,
POR UM PUNHADO DE DÓLARES - OS NOVOS EMIGRADOS,B1402301300000,11/09/2014,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
PORNO PARA PRINCIPIANTES,B1900435600000,06/09/2019,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PORNOMELANCOLIA,B2300165900000,25/04/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PRAIA DO FUTURO,B1402146300000,03/04/2014,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA BRASIL-ALEMANHA
PRAIA FORMOSA,B2400038900000,26/01/2024,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
PRATA DA CASA,B1600418300000,29/06/2016,DEFERIDO,MAJORITÁRIA,
PRAÇA PARIS,B1700405200000,15/08/2017,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PRIMEIROS POVOS,B2300311400000,31/07/2023,DEFERIDO,MINORITÁRIA,
PROVA DE CORAGEM,B1500399400000,19/05/2015,DEFERIDO,MAJORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
PUAN,B2300527400000,24/11/2023,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
QUANTO BASTA,B2200080400000,25/02/2022,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
QUASE DOIS IRMÃOS,B0400102900000,30/03/2005,DEFERIDO,MAJORITÁRIA,
QUERÊNCIA,B1900507200000,14/10/2019,DEFERIDO,MAJORITÁRIA,
RAIVA,B1800187200000,27/04/2018,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
RAZDENSYA,B1800287500000,27/06/2018,DEFERIDO,IGUALITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA FRANCESA
RAZÕES PARA NÃO SER MÃE,B1900582500000,26/11/2019,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
RAÇA,B1301784200000,16/04/2013,DEFERIDO,IGUALITÁRIA,
RECEITA DE VIAGEM COM BEL COELHO,B1500177800000,02/03/2015,DEFERIDO,MAJORITÁRIA,
REFORMA SURPRESA DICAS DE NATAL,B2200450100000,29/11/2022,DEFERIDO,MAJORITÁRIA,
REFRIGERANTES E CANÇÕES DE AMOR,B1700264400000,30/05/2017,DEFERIDO,MINORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE OS GOVERNOS DA REPÚBLICA FEDERATIVA DO BRASIL E DA REPÚBLICA PORTUGUESA
REJEITO,B2400198700000,15/05/2024,DEFERIDO,MINORITÁRIA,
REPARE BEM,B1301925900000,19/08/2013,DEFERIDO,MAJORITÁRIA,
RETRATO DE UM CERTO ORIENTE,B2300382200000,06/09/2023,DEFERIDO,MAJORITÁRIA,ACORDO DE COPRODUÇÃO CINEMATOGRÁFICA ENTRE O GOVERNO DA REPÚBLICA FEDERATIVA DO BRASIL E O GOVERNO DA REPÚBLICA ITALIANA E TROCA DE NOTAS
REUS,B1101438100000,09/06/2011,DEFERIDO,MINORITÁRIA,ACORDO LATINO-AMERICANO DE COPRODUÇÃO CINEMATOGRÁFICA
REZA,B1900138100000,25/03/2019,DEFERIDO,MAJORITÁRIA,
